Data for Z=79, E=2-433 keV
    E              f1 
   keV           e atom-1

2.0004844E+00  4.86861E+01
2.0104868E+00  4.83770E+01
2.0205393E+00  4.80488E+01
2.0306420E+00  4.76993E+01
2.0407952E+00  4.73259E+01
2.0509992E+00  4.69257E+01
2.0612542E+00  4.64950E+01
2.0715604E+00  4.60294E+01
2.0819182E+00  4.55233E+01
2.0923278E+00  4.49700E+01
2.1027895E+00  4.43604E+01
2.1133034E+00  4.36829E+01
2.1238699E+00  4.29216E+01
2.1344893E+00  4.20539E+01
2.1451617E+00  4.10468E+01
2.1558875E+00  3.98476E+01
2.1666670E+00  3.83658E+01
2.1775003E+00  3.64219E+01
2.1883878E+00  3.35677E+01
2.1993297E+00  2.78928E+01
2.2051132E+00  1.47180E+01
2.2062866E+00  1.44147E+01
2.2103264E+00  2.56735E+01
2.2213780E+00  3.20631E+01
2.2324849E+00  3.45666E+01
2.2436473E+00  3.58899E+01
2.2548656E+00  3.65015E+01
2.2661399E+00  3.64465E+01
2.2774706E+00  3.53612E+01
2.2888579E+00  2.97952E+01
2.2904585E+00  2.53813E+01
2.2917415E+00  2.52987E+01
2.3003022E+00  3.56491E+01
2.3118037E+00  3.93788E+01
2.3233628E+00  4.16868E+01
2.3349796E+00  4.34321E+01
2.3466545E+00  4.48607E+01
2.3583878E+00  4.60806E+01
2.3701797E+00  4.71495E+01
2.3820306E+00  4.81028E+01
2.3939407E+00  4.89635E+01
2.4059104E+00  4.97480E+01
2.4179400E+00  5.04680E+01
2.4300297E+00  5.11326E+01
2.4421798E+00  5.17487E+01
2.4543907E+00  5.23217E+01
2.4666627E+00  5.28561E+01
2.4789960E+00  5.33553E+01
2.4913910E+00  5.38222E+01
2.5038479E+00  5.42592E+01
2.5163672E+00  5.46683E+01
2.5289490E+00  5.50508E+01
2.5415938E+00  5.54079E+01
2.5543017E+00  5.57405E+01
2.5670732E+00  5.60490E+01
2.5799086E+00  5.63336E+01
2.5928082E+00  5.65938E+01
2.6057722E+00  5.68290E+01
2.6188011E+00  5.70376E+01
2.6318951E+00  5.72174E+01
2.6450545E+00  5.73650E+01
2.6582798E+00  5.74747E+01
2.6715712E+00  5.75380E+01
2.6849291E+00  5.75399E+01
2.6983537E+00  5.74535E+01
2.7118455E+00  5.72210E+01
2.7254047E+00  5.66801E+01
2.7390317E+00  5.48263E+01
2.7404353E+00  5.42320E+01
2.7455647E+00  5.42566E+01
2.7527269E+00  5.62907E+01
2.7664905E+00  5.77964E+01
2.7803230E+00  5.86963E+01
2.7942246E+00  5.93792E+01
2.8081957E+00  5.99469E+01
2.8222367E+00  6.04418E+01
2.8363479E+00  6.08855E+01
2.8505296E+00  6.12908E+01
2.8647823E+00  6.16661E+01
2.8791062E+00  6.20157E+01
2.8935017E+00  6.23422E+01
2.9079692E+00  6.26487E+01
2.9225091E+00  6.29375E+01
2.9371216E+00  6.32102E+01
2.9518072E+00  6.34683E+01
2.9665662E+00  6.37128E+01
2.9813991E+00  6.39446E+01
2.9963061E+00  6.41630E+01
3.0112876E+00  6.43822E+01
3.0263440E+00  6.45811E+01
3.0414758E+00  6.47577E+01
3.0566831E+00  6.49116E+01
3.0719666E+00  6.50396E+01
3.0873264E+00  6.51351E+01
3.1027630E+00  6.51847E+01
3.1182768E+00  6.51563E+01
3.1338682E+00  6.49396E+01
3.1431727E+00  6.44455E+01
3.1495376E+00  6.39561E+01
3.1524272E+00  6.45350E+01
3.1652853E+00  6.54239E+01
3.1811117E+00  6.59569E+01
3.1970172E+00  6.63394E+01
3.2130023E+00  6.66525E+01
